group,name,namespace,qualName,description,dataType,usage,vocabulary,comments,examples,status,GitHub issue,Darwin Core,ABCD,HISPID 3,HISPID 4,HISPID 5,Audubon Core,issued,modified
Location,georeferenceSources,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/georeferenceSources,"A list of maps, gazetteers, or other resources used to georeference the Location, described specifically enough to allow anyone in the future to use the same resource.",string,,,,,new,,georeferenceSources,//Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceSources,,,,,2015-07-11,2015-07-11
Location,georeferenceVerificationStatus,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/georeferenceVerificationStatus,A categorical description of the extent to which the georeference has been verified to represent the best possible spatial descript,string,Recommended best practice is to use a controlled vocabulary.,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/georeference_verification_status.xml,,,new,https://github.com/hiscom/hispid/issues/19,georeferenceVerificationStatus,//Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceVerificationStatus,,,,,2015-07-11,2015-07-11
Location,georeferenceRemarks,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/georeferenceRemarks,"Notes or comments about the spatial description determination, explaining assumptions made in addition or opposition to the those formalised in the method referred to in georeferenceProtocol.",string,,,,,new,,georeferenceRemarks,//Unit/Gathering/SiteCoordinateSets/SiteCoordinates/GeoreferenceRemarks,,,,,2015-07-11,2015-07-11
Location,nearestNamedPlace,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/nearestNamedPlace,The nearest named place to the collecting locality. ,string,,,We do not want to use this as generalised locality any more. There are still two use cases: (1) a nearest named placed given by a collector when the collecting locality doesn't have a name or is obscure and (2) the place name the georeference is based on when the name of the locality can't be found in any gazetteer. The latter use case probably desrves its own term.,,under consideration,,,//Unit/Gathering/NearNamedPlaces/NamedPlaceRelation/NearNamedPlace,nnp,nnp,,,2015-07-11,2015-07-11
Location,minimumElevationInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/minimumElevationInMeters,Elevation or lower value of a range of elevation in metres.,decimal,,,,,current,,minimumElevationInMeters,"//Unit/Gathering/Altitude/MeasurementOrFactAtomised[UnitOfMeasurement=""metres""]/LowerValue",alt,alt,,,2015-07-11,2015-07-11
Location,maximumElevationInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/maximumElevationInMeters,Higher value of the range of elevation in metres.,decimal,,,,,current,,maximumElevationInMeters,"//Unit/Gathering/Altitude/MeasurementOrFactAtomised[UnitOfMeasurement=""metres""]/UpperValue",altx,altx,,,2015-07-11,2015-07-11
Location,verbatimElevation,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimElevation,The original description of the elevation as provided by the collector.,string,,,,,new,,verbatimElevation,//Unit/Gathering/Altitude/MeasurementOrFactText,,,,,2015-07-11,2015-07-11
Location,elevationMethod,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/elevationMethod,Method by which the elevation was determined.,string,,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/elevation_method.xml,,,current,,,,altdet,altdet,,,2015-07-11,2015-07-11
Location,minimumDepthInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/minimumDepthInMeters,Depth or the lesser of a range of depth below the local surface in metres.,decimal,,,,,current,,minimumDepthInMeters,"//Unit/Gathering/Depth/MeasurementOrFactAtomised/LowerValue with
//Unit/Gathering/Depth/MeasurementOrFactAtomised/UnitOfMeasurement = 'metres'",dep,dep,,,2015-07-11,2015-07-11
Location,maximumDepthInMeters,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/maximumDepthInMeters,The greater of a range of depths below the local surface in metres.,decimal,,,,,current,,maximumDepthInMeters,"//Unit/Gathering/Depth/MeasurementOrFactAtomised/UpperValue with
//Unit/Gathering/Depth/MeasurementOrFactAtomised/UnitOfMeasurement = 'metres'",depx,depx,,,2015-07-11,2015-07-11
Location,verbatimDepth,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/verbatimDepth,"Verbatim description of the depth, as provided by the collector.",string,,,,,new,,verbatimDepth,//Unit/Gathering/Depth/MeasurementOrFactText,,,,,2015-07-11,2015-07-11
Identification,identificationID,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationID,Identifier for the Identification,string,Use of a UUID is recommended.,,,,current,https://github.com/hiscom/hispid/issues/2,identificationID,,,,,,2015-07-11,2015-07-11
Identification,identificationQualifier,http://rs.tdwg.org/dwc/terms/,http://rs.tdwg.org/dwc/terms/identificationQualifier,A brief phrase or standard term to express doubt about an identification.,string,,,,,current,,identificationQualifier,"//Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/IdentificationQualifier + //Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/IdentificationQualifier[@insertionpoint]",idql,idql,,dwc:identificationQualifier,2015-07-11,2015-07-11
Identification,identificationQualifierRank,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/identificationQualifier,Rank at which the identificationQualifier applies,string,,,,,current,,identificationQualifier,,rkql,rkql,,,2015-07-11,2015-07-11
Identification,nameAddendum,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/nameAddendum,A suffix added after the scientific name to indicate aggregate taxa or  more or less inclusive taxon concepts,string,,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/name_addendum.xml,,,current,,,"//Unit/Identifications/Identification[PreferredFlag=""true""]/Result/TaxonIdentified/ScientificName/NameAddendum",spql,spql,,,2015-07-11,2015-07-11
