group,name,namespace,qualName,description,dataType,usage,vocabulary,comments,examples,status,GitHub issue,Darwin Core,ABCD,HISPID 3,HISPID 4,HISPID 5,Audubon Core,issued,modified
Transaction,loanForBotanist,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/loanForBotanist,Name(s) of the botanist(s) for whom the loan is intended.,string,,,,,current,,,//Unit/HerbariumUnit/LoanForBotanist,loabot,loabot,,,2015-07-11,2015-07-11
Transaction,loanDate,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/loanDate,The date the loan is prepared and/or sent.,string,,,,,current,,,//Unit/HerbariumUnit/LoanDate,loadat,loadat,,,2015-07-11,2015-07-11
Transaction,loanReturnDate,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/loanReturnDate,The date the loan is due to be returned.,string,,,,,current,,,//Unit/HerbariumUnit/LoanReturnDate,loaret,loaret,,,2015-07-11,2015-07-11
Permit,permitType,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitType,Type of permit.,string,,,,"""collecting permit"", ""export permit""",new,,,,,,,,2015-07-11,2015-07-11
Permit,permitReferenceNumber,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitReferenceNumber,Reference number allocated to the permit by the issuing authority.,string,,,,,new,,,,,,,,2015-07-11,2015-07-11
Permit,permitIssuedBy,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitIssuedBy,Name of the authority by whom the permit was issued.,string,,,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
Permit,permitIssuedTo,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitIssuedTo,Name(s) of the person(s) or organisation to whom the permit was issued.,string,,,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
Permit,permitIssuedDate,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitIssuedDate,Date the permit was issued.,date,,,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
Permit,permitValidDate,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitValidDate,Date or period for which the permit is valid.,date,ISO-8601,,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
Permit,permitStatus,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitStatus,Status of the permit.,string,,http://hiscom.rbg.vic.gov.au/hispid/vocabulary/permit_status.xml,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
Permit,permitConditions,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitConditions,"Conditions on the permit, which may affect how the specimens collected under the permit may be used or distributed.",string,,,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
Permit,permitRemarks,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitRemarks,Any additional comments pertaining to the permit.,string,,,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
Permit,permitLink,http://hiscom.chah.org.au/hispid/terms/,http://hiscom.chah.org.au/hispid/terms/permitLink,The link to an electronic version of the permit.,string,,,,,new,https://github.com/hiscom/hispid/issues/10,,,,,,,2015-07-11,2015-07-11
MediaItem,creator,http://purl.org/dc/elements/1.1/,http://purl.org/dc/elements/1.1/creator,Creator of the media object.,string,,,,,under consideration,https://github.com/hiscom/hispid/issues/65,,,,,,dc:creator,2015-07-11,2015-07-11
MediaItem,createDate,http://ns.adobe.com/xap/1.0/,http://ns.adobe.com/xap/1.0/CreateDate,"Date the media object, or its source, was created.",dateTime,ISO-8601,,,,under consideration,,,,,,,xmp:CreateDate,2015-07-11,2015-07-11
MediaItem,digitizationDate,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/digitizationDate,Date the media object was created.,dateTime,ISO-8601,,,,under consideration,,,,,,,ac:digitizationDate,2015-07-11,2015-07-11
MediaItem,source,http://purl.org/dc/elements/1.1/,http://purl.org/dc/elements/1.1/source,"Original source of the media object, if the resource was digitised from a non-digital source.",string,,,,,under consideration,,,,,,,dc:source,2015-07-11,2015-07-11
MediaItem,title,http://purl.org/dc/terms/,http://purl.org/dc/terms/title,"Title of the media object, including subtitles, if any.",string,,,,,under consideration,,,,,,,dcterms:title,2015-07-11,2015-07-11
MediaItem,description,http://purl.org/dc/terms/,http://purl.org/dc/terms/description,Description of the media resource.,string,,,,,under consideration,,,,,,,dcterms:description,2015-07-11,2015-07-11
MediaItem,caption,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/caption,Free-form text to be displayed together with (rather than instead of) a media object that is suitable for captions.,string,,,,,under consideration,,,,,,,ac:caption,2015-07-11,2015-07-11
MediaItem,physicalSetting,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/physicalSetting,The setting of the content represented in the media object,string,,natural|artificial|edited,,,under consideration,,,,,,,ac:physicalSetting,2015-07-11,2015-07-11
MediaItem,subjectCategory,http://iptc.org/std/Iptc4xmpExt/2008-02-29/,http://iptc.org/std/Iptc4xmpExt/2008-02-29/Cvterm,Broad subject or context of the media object.,string,,Under consideration,,,under consideration,https://github.com/hiscom/hispid/issues/5,,,,,,Iptc4xmpExt:CVterm,2015-07-11,2015-07-11
MediaItem,tag,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/tag,Tag or keyword.,string,,,,,under consideration,,,,,,,ac:tag,2015-07-11,2015-07-11
MediaItem,subjectPart,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subjectPart,Part of the subject that is imaged.,string,,,,,under consideration,,,,,,,ac:subjectPart,2015-07-11,2015-07-11
MediaItem,subjectOrientation,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subjectOrientation,Orientation of the subject represented in the media object with respect to the capturing device.,string,,,,,under consideration,,,,,,,ac:subjectOrientation,2015-07-11,2015-07-11
MediaItem,captureDevice,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/captureDevice,Device used to create the media object.,string,,,,,under consideration,,,,,,,ac:captureDevice,2015-07-11,2015-07-11
MediaItem,resourceCreationTechnique,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/resourceCreationTechnique,Information about technical aspects of the creation of the media object.,string,,,,,under consideration,,,,,,,ac:resourceCreationTechnique,2015-07-11,2015-07-11
MediaItem,relatedResourceID,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/relatedResourceID,"Identifier(s) of related media objects, e.g.different view angles of the same subject.",string,,,,,under consideration,,,,,,,ac:relatedResourceID,2015-07-11,2015-07-11
MediaItem,mediaItemID,http://purl.org/dc/terms/,http://purl.org/dc/terms/identifier,"An arbitrary code that is unique for the resource, with the resource being either a provider, collection, or media item",string,,,,,under consideration,,,,,,,dcterms:identifier,2015-07-11,2015-07-11
MediaItem,subtype,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subtype,Any URI may be used that provides for more specialization than the type. Possible values are community-defined.,string,URI to vocabulary term,"Drawing, Painting, Logo, Icon, Illustration, Graphic, Photograph, Animation, Film, SlideShow, DesignPlan, Diagram, Map, MusicalNotation, IdentificationKey, ScannedText, RecordedText, RecordedOrganism, TaxonPage, MultimediaLearningObject, VirtualRealityEnvironment, GlossaryPage.",,,under consideration,https://github.com/hiscom/hispid/issues/60,,,,,,ac:subtype,2015-07-11,2015-07-11
MediaItem,metadataDate,http://ns.adobe.com/xap/1.0/,http://ns.adobe.com/xap/1.0/MetadataDate,Point in time recording when the last modification to metadata (not necessarily the media object itself) occurred.,dateTime,ISO-8601,,,,under consideration,,,,,,,xmp:MetadataDate,2015-07-11,2015-07-11
MediaItem,providerManagedID,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/providerManagedID,"A free-form identifier (a simple number, an alphanumeric code, a URL, etc.) that is unique and meaningful primarily for the data provider.",string,,,,,under consideration,,,,,,,ac:providerManagedID,2015-07-11,2015-07-11
MediaItem,available,http://purl.org/dc/terms/,http://purl.org/dc/terms/available,The date (often a range) that the resource became or will become available.,dateTime,ISO-8601,,,,under consideration,,,,,,,dcterms:available,2015-07-11,2015-07-11
MediaItem,hasServiceAccessPoint,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/hasServiceAccessPoint,Service access point for metadata about this media resource,string,,,,,under consideration,,,,,,,ac:hasServiceAccessPoint,2015-07-11,2015-07-11
MediaItem,rights,http://purl.org/dc/terms/,http://purl.org/dc/terms/rights,Information about rights held in and over the resource.,string,,,,,under consideration,,,,,,,dcterms:rights,2015-07-11,2015-07-11
MediaItem,licenseTerms,http://ns.adobe.com/xap/1.0/rights/,http://ns.adobe.com/xap/1.0/rights/UsageTerms,The license statement defining how resources may be used.,string,,,,,under consideration,,,,,,,xmpRights:UsageTerms,2015-07-11,2015-07-11
MediaItem,licenseURL,http://ns.adobe.com/xap/1.0/rights/,http://ns.adobe.com/xap/1.0/rights/WebStatement,"A URL defining or further elaborating on the license statement (e. g., a web page explaining the precise terms of use).",string,,,,,under consideration,,,,,,,xmpRights:WebStatement,2015-07-11,2015-07-11
MediaItem,licenseLogoURL,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/licenseLogoURL,A URL providing access to a logo that symbolizes the License.,string,,,,,under consideration,,,,,,,ac:licenseLogoUR,2015-07-11,2015-07-11
MediaItem,credit,http://ns.adobe.com/photoshop/1.0/,http://ns.adobe.com/photoshop/1.0/Credit,Attribution statement,string,,,,,under consideration,,,,,,,photoshop:Credit,2015-07-11,2015-07-11
MediaItem,attributionURL,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/attributionLogoURL,The URL of the icon or logo image to appear in source attribution.,string,,,,,under consideration,,,,,,,ac:attributionLogoURL,2015-07-11,2015-07-11
MediaItem,attributionLinkURL,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/attributionLinkURL,"The URL where information about ownership, attribution, etc. of the resource may be found.",string,,,,,under consideration,,,,,,,ac:attributionLinkURL,2015-07-11,2015-07-11
MediaItem,funding,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/fundingAttribution,Organizations or individuals who funded the creation of the resource.,string,,,,,under consideration,,,,,,,ac:fundingAttribution,2015-07-11,2015-07-11
MediaItem,provider,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/providerLiteral,Person or organization responsible for presenting the media resource.,string,,,,,under consideration,,,,,,,ac:providerLiteral,2015-07-11,2015-07-11
MediaItem,subjectCategoryVocabulary,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/subjectCategoryVocabulary,Any vocabulary or formal classification from which terms in the Subject Category have been drawn.,string,,,,,under consideration,,,,,,,ac:subjectCategoryVocabulary,2015-07-11,2015-07-11
MediaItem,taxonCoverage,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/taxonCoverage,"A higher taxon (e. g., a genus, family, or order) at the level of the genus or higher, that covers all taxa that are the primary subject of the resource",string,,,,,under consideration,,,,,,,ac:taxonCoverage,2015-07-11,2015-07-11
MediaItem,derivedFrom,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/derivedFrom,A reference to an original resource from which the current one is derived.,string,,,,,under consideration,,,,,,,ac:derivedFrom,2015-07-11,2015-07-11
MediaItem,associatedSpecimenReference,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/associatedSpecimenReference,A reference to a specimen associated with this resource.,string,This should be in the same form as catalogNumber,,,,under consideration,,,,,,,ac:associatedSpecimenReference,2015-07-11,2015-07-11
MediaItem,associatedObservationReference,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/associatedObservationReference,A reference to an observation associated with this resource.,string,,,,,under consideration,,,,,,,ac:associatedObservationReference,2015-07-11,2015-07-11
MediaItem,accessURI,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/accessURI,"A URI that uniquely identifies a service that provides a representation of the underlying resource. If this resource can be acquired by an http request, its http URL should be given. If not, but it has some URI in another URI scheme, that may be given here.",string,,,,,under consideration,,,,,,,ac:accessURI,2015-07-11,2015-07-11
MediaItem,format,http://purl.org/dc/elements/1.1/,http://purl.org/dc/elements/1.1/format,A string describing the technical format of the resource (file format or physical medium).,string,,dc:format,maybe be more appropriate to use  dcterms:format?,,under consideration,,,,,,,dc:format,2015-07-11,2015-07-11
MediaItem,variant,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/variant,"A URI designating what this Service Access Point provides. Some suggested values are the URIs ac:Thumbnail, ac:Trailer, ac:LowerQuality, ac:MediumQuality, ac:GoodQuality, ac:BestQuality, and ac:Offline. Additional URIs from communities of practice may be introduced.",string,,,,,under consideration,,,,,,,ac:variant,2015-07-11,2015-07-11
MediaItem,furtherInformationURL,http://rs.tdwg.org/ac/terms/,http://rs.tdwg.org/ac/terms/furtherInformationURL,The URL of a Web site that provides additional information about the version of the media resource that is provided by the Service Access Point.,string,,,,,under consideration,,,,,,,ac:furtherInformationURL,2015-07-11,2015-07-11
