group,namespace,qualName,definition,issued,modified,status
Occurrence,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/Occurrence,An existence of an Organism (sensu http://rs.tdwg.org/dwc/terms/Organism) at a particular place at a particular time.,2015-07-11,2015-07-11,recommended
Event,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/Event,An action that occurs at some location during some time.,2015-07-11,2015-07-11,recommended
Location,http://purl.org/dc/terms,http://purl.org/dc/terms/Location,A spatial region or named place.,2015-07-11,2015-07-11,recommended
Identification,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/Identification,"A taxonomic determination (e.g., the assignment to a taxon).",2015-07-11,2015-07-11,recommended
Taxon,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/Taxon,A group of organisms (sensu http://purl.obolibrary.org/obo/OBI_0100026) considered by taxonomists to form a homogeneous unit.,2015-07-11,2015-07-11,recommended
PreservedSpecimen,http://rs.tdwg.org/dwc/terms,http://rs.tdwg.org/dwc/terms/PreservedSpecimen,A specimen that has been preserved.,2015-07-11,2015-07-11,recommended
Transaction,http://hiscom.chah.org.au/hispid/terms,http://hiscom.chah.org.au/hispid/terms/Transaction,"An interaction between two herbaria, e.g. loan or exchange.",2015-07-11,2015-07-11,recommended
Permit,http://hiscom.chah.org.au/hispid/terms,http://hiscom.chah.org.au/hispid/terms/Permit,"A document or certificate giving permission to do something, e.g. collecting.",2015-07-11,2015-07-11,recommended
MediaItem,http://hiscom.chah.org.au/hispid/terms,http://hiscom.chah.org.au/hispid/terms/MediaItem,An image or other digital resource.,2015-07-11,2015-07-11,recommended
